Word,Details,Sources,GregMat_Details,Barron_Details,Kaplan_Details,Magoosh_Details,WordSmart_Details,Source_Files
exasperate,"Kaplan 900 + High Frequency GRE: Annoy, make angry | Magoosh GRE 1000 Words: (verb): to irritate intensely As a child, I exasperated my mother with strings of never-ending questions. | WordSmart I Complete 850 Words: Pronunciation: ig-ZAS-per-ayt; English: to annoy; Bengali: বিরক্ত করা / রাগাবিত করা; Example: His constant complaints exasperated the whole team.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,"Annoy, make angry","(verb): to irritate intensely As a child, I exasperated my mother with strings of never-ending questions.",Pronunciation: ig-ZAS-per-ayt; English: to annoy; Bengali: বিরক্ত করা / রাগাবিত করা; Example: His constant complaints exasperated the whole team.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
exasperated,GregMat Vocab: severely irritated or angry,GregMat Vocab,severely irritated or angry,,,,,GregMat Vocab.pdf
excoriate,"GregMat Vocab: criticize strongly; condemn | Magoosh GRE 1000 Words: (verb): to criticize very harshly Entrusted with the prototype to his company's latest smartphone, Larry, during a late night karaoke bout, let the prototype slip into the hands of a rival company--the next day Larry was excoriated, and then fired.",GregMat Vocab; Magoosh GRE 1000 Words,criticize strongly; condemn,,,"(verb): to criticize very harshly Entrusted with the prototype to his company's latest smartphone, Larry, during a late night karaoke bout, let the prototype slip into the hands of a rival company--the next day Larry was excoriated, and then fired.",,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
excruciating,"Barron's 1100 - First 20 Weeks: agonizing | Magoosh GRE 1000 Words: (adjective): extremely painful After the boulder rolled a couple of feet, pinning my friend's arm, he experienced excruciating pain.",Barron's 1100 - First 20 Weeks; Magoosh GRE 1000 Words,,agonizing,,"(adjective): extremely painful After the boulder rolled a couple of feet, pinning my friend's arm, he experienced excruciating pain.",,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; magoosh-gre-1000-words_oct01.pdf
exculpate,GregMat Vocab: clear from blame or guilt | Kaplan 900 + High Frequency GRE: Clear from guilt or blame,GregMat Vocab; Kaplan 900 + High Frequency GRE,clear from blame or guilt,,Clear from guilt or blame,,,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
execrable,"Kaplan 900 + High Frequency GRE: Very bad, detest",Kaplan 900 + High Frequency GRE,,,"Very bad, detest",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
execrate,"Magoosh GRE 1000 Words: (verb): to curse and hiss at Though the new sitcom did decently in the ratings, Nelson railed against the show, saying that it was nothing more than an execrable pastiche of tired clichÃ©'s and canned laughter.",Magoosh GRE 1000 Words,,,,"(verb): to curse and hiss at Though the new sitcom did decently in the ratings, Nelson railed against the show, saying that it was nothing more than an execrable pastiche of tired clichÃ©'s and canned laughter.",,magoosh-gre-1000-words_oct01.pdf
exegesis,"Magoosh GRE 1000 Words: (noun): critical explanation or analysis, especially of a text The Bible is fertile ground for exegesis--over the past five centuries there have been as many interpretations as there are pages in the Old Testament.",Magoosh GRE 1000 Words,,,,"(noun): critical explanation or analysis, especially of a text The Bible is fertile ground for exegesis--over the past five centuries there have been as many interpretations as there are pages in the Old Testament.",,magoosh-gre-1000-words_oct01.pdf
exemplar,"Kaplan 900 + High Frequency GRE: an excellent model, a typical example | Magoosh GRE 1000 Words: (noun): something to be imitated Lena's homework is on the wall because it is an exemplar of clean, neat, and thoughtful work.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,,,"an excellent model, a typical example","(noun): something to be imitated Lena's homework is on the wall because it is an exemplar of clean, neat, and thoughtful work.",,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
exemplify,"Magoosh GRE 1000 Words: (verb): be characteristic of Lincoln exemplified the best of not only America, but also the potential greatness that exists within each person. ; (verb): clarify by giving an example of Please present some case studies that exemplify the results that you claim in your paper. | WordSmart I Complete 850 Words: Pronunciation: ig-ZEM-plih-fy; English: to serve as an example; Bengali: উোহরণ হওযা / েৃষ্টান ্ত উপসা্থপন করা; Example: Her dedication exemplifies what it means to be a good teacher.",Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,,"(verb): be characteristic of Lincoln exemplified the best of not only America, but also the potential greatness that exists within each person. ; (verb): clarify by giving an example of Please present some case studies that exemplify the results that you claim in your paper.",Pronunciation: ig-ZEM-plih-fy; English: to serve as an example; Bengali: উোহরণ হওযা / েৃষ্টান ্ত উপসা্থপন করা; Example: Her dedication exemplifies what it means to be a good teacher.,WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
exhaustive,GregMat Vocab: thorough and comprehensive | WordSmart I Complete 850 Words: Pronunciation: ig-ZAW-stiv; English: thorough; Bengali: পুঙ্খানুপুঙ্খ / সম্পূণ ে; Example: The police conducted an exhaustive investigation.,GregMat Vocab; WordSmart I Complete 850 Words,thorough and comprehensive,,,,Pronunciation: ig-ZAW-stiv; English: thorough; Bengali: পুঙ্খানুপুঙ্খ / সম্পূণ ে; Example: The police conducted an exhaustive investigation.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
exhilarating,GregMat Vocab: intensely exciting,GregMat Vocab,intensely exciting,,,,,GregMat Vocab.pdf
exhort,"GregMat Vocab: strongly persuade, encourage, or urge | Magoosh GRE 1000 Words: (verb): to strongly urge on; encourage Nelson's parents exhorted him to study medicine, urging him to choose a respectable profession; intransigent, Nelson left home to become a graffiti artist. | WordSmart I Complete 850 Words: Pronunciation: ig-ZORT; English: to urge strongly; Bengali: ছজারানলাভানি অনুনরাি করা; Example: The coach exhorted the players to give their best.",GregMat Vocab; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,"strongly persuade, encourage, or urge",,,"(verb): to strongly urge on; encourage Nelson's parents exhorted him to study medicine, urging him to choose a respectable profession; intransigent, Nelson left home to become a graffiti artist.",Pronunciation: ig-ZORT; English: to urge strongly; Bengali: ছজারানলাভানি অনুনরাি করা; Example: The coach exhorted the players to give their best.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
exigency,WordSmart I Complete 850 Words: Pronunciation: EK-sih-jun-see; English: an emergency; Bengali: জরুবর পবরবস্থবত / গরতু র প্রনযাজন; Example: He acted quickly in the exigency of the moment.,WordSmart I Complete 850 Words,,,,,Pronunciation: EK-sih-jun-see; English: an emergency; Bengali: জরুবর পবরবস্থবত / গরতু র প্রনযাজন; Example: He acted quickly in the exigency of the moment.,WordSmart1_Complete_850Words.pdf
exigent,"GregMat Vocab: requiring immediate action or aid; urgent | Kaplan 900 + High Frequency GRE: Demanding, urgent",GregMat Vocab; Kaplan 900 + High Frequency GRE,requiring immediate action or aid; urgent,,"Demanding, urgent",,,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
exiguity,"Magoosh GRE 1000 Words: (noun): the quality of being meager After two months at sea, the exiguity of the ship's supplies forced them to search for fresh water and food.",Magoosh GRE 1000 Words,,,,"(noun): the quality of being meager After two months at sea, the exiguity of the ship's supplies forced them to search for fresh water and food.",,magoosh-gre-1000-words_oct01.pdf
existential,WordSmart I Complete 850 Words: Pronunciation: eg-zis-TEN-shul; English: the thought that human beings are responsible for their own actions; Bengali: অত্ত্বস্তসংক্রান্ত / মানিসিার োযিিতা; Example: He faced an existential crisis in his thirties.,WordSmart I Complete 850 Words,,,,,Pronunciation: eg-zis-TEN-shul; English: the thought that human beings are responsible for their own actions; Bengali: অত্ত্বস্তসংক্রান্ত / মানিসিার োযিিতা; Example: He faced an existential crisis in his thirties.,WordSmart1_Complete_850Words.pdf
exonerate,"GregMat Vocab: clear from accusation or blame | Kaplan 900 + High Frequency GRE: Free from blame or guilt | Magoosh GRE 1000 Words: (verb): pronounce not guilty of criminal charges The document clearly indicated that Nick was out of the state at the time of the crime, and so served to exonerate him of any charges. | WordSmart I Complete 850 Words: Pronunciation: ig-ZON-er-ayt; English: to free from blame; Bengali: োযমুক্ত করা; Example: New evidence exonerated the wrongly convicted man.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,clear from accusation or blame,,Free from blame or guilt,"(verb): pronounce not guilty of criminal charges The document clearly indicated that Nick was out of the state at the time of the crime, and so served to exonerate him of any charges.",Pronunciation: ig-ZON-er-ayt; English: to free from blame; Bengali: োযমুক্ত করা; Example: New evidence exonerated the wrongly convicted man.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
exorbitant,"GregMat Vocab: going far beyond what is fair, reasonable, or expected | Kaplan 900 + High Frequency GRE: extravagant, exceeding what is usual | Magoosh GRE 1000 Words: (adjective): greatly exceeding bounds of reason or moderation Shelley made one exorbitant purchase after another, buying new clothes and taking vacations even though she earned a limited salary.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,"going far beyond what is fair, reasonable, or expected",,"extravagant, exceeding what is usual","(adjective): greatly exceeding bounds of reason or moderation Shelley made one exorbitant purchase after another, buying new clothes and taking vacations even though she earned a limited salary.",,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
exorcize,"GregMat Vocab: drive out (such as an evil spirit or some other thing) from a person, place, or thing",GregMat Vocab,"drive out (such as an evil spirit or some other thing) from a person, place, or thing",,,,,GregMat Vocab.pdf
exotic,"GregMat Vocab: foreign, especially in an exciting way",GregMat Vocab,"foreign, especially in an exciting way",,,,,GregMat Vocab.pdf
expansive,"Magoosh GRE 1000 Words: (adjective): communicative, and prone to talking in a sociable manner After a few sips of cognac, the octogenarian shed his irascible demeanor and became expansive, speaking fondly of the ""good old days"".",Magoosh GRE 1000 Words,,,,"(adjective): communicative, and prone to talking in a sociable manner After a few sips of cognac, the octogenarian shed his irascible demeanor and became expansive, speaking fondly of the ""good old days"".",,magoosh-gre-1000-words_oct01.pdf
expatiate,GregMat Vocab: talk or write in great detail about a topic,GregMat Vocab,talk or write in great detail about a topic,,,,,GregMat Vocab.pdf
expatriate,WordSmart I Complete 850 Words: Pronunciation: eks-PAY-tree- ayt; English: to move away from one's native land; Bengali: সন্বেশতযাগী / প্রিাসী; Example: He lived as an expatriate in Dubai for ten years.,WordSmart I Complete 850 Words,,,,,Pronunciation: eks-PAY-tree- ayt; English: to move away from one's native land; Bengali: সন্বেশতযাগী / প্রিাসী; Example: He lived as an expatriate in Dubai for ten years.,WordSmart1_Complete_850Words.pdf
expedient,"GregMat Vocab: affording short-term benefits, often at the expense of the long-term | WordSmart I Complete 850 Words: Pronunciation: ik-SPEE-dee- unt; English: practical; Bengali: সুবিিাজনক / কাযকের পিবত; Example: It was expedient to take the faster route.",GregMat Vocab; WordSmart I Complete 850 Words,"affording short-term benefits, often at the expense of the long-term",,,,Pronunciation: ik-SPEE-dee- unt; English: practical; Bengali: সুবিিাজনক / কাযকের পিবত; Example: It was expedient to take the faster route.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
expedite,"GregMat Vocab: accelerate or speed up a process or action | Kaplan 900 + High Frequency GRE: to make faster or easier, to carry out promptly | WordSmart I Complete 850 Words: Pronunciation: EK-spuh-dyt; English: to speed up or ease the progress of; Bengali: দ্রুত করা / তরাবিত করা; Example: He called the office to expedite his application.",GregMat Vocab; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,accelerate or speed up a process or action,,"to make faster or easier, to carry out promptly",,Pronunciation: EK-spuh-dyt; English: to speed up or ease the progress of; Bengali: দ্রুত করা / তরাবিত করা; Example: He called the office to expedite his application.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
explicable,GregMat Vocab: able to be explained or understood,GregMat Vocab,able to be explained or understood,,,,,GregMat Vocab.pdf
explicit,"Kaplan 900 + High Frequency GRE: clearly stated, precisely shown | WordSmart I Complete 850 Words: Pronunciation: ik-SPLIS-it; English: clearly and directly expressed; Bengali: সুস্পষ্ট / প্রতযক ্ষ; Example: The instructions were explicit about what to do.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"clearly stated, precisely shown",,Pronunciation: ik-SPLIS-it; English: clearly and directly expressed; Bengali: সুস্পষ্ট / প্রতযক ্ষ; Example: The instructions were explicit about what to do.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
exploitative,"GregMat Vocab: taking unfair advantage of a person, group, or situation",GregMat Vocab,"taking unfair advantage of a person, group, or situation",,,,,GregMat Vocab.pdf
expound,"Magoosh GRE 1000 Words: (verb): add details or explanation; clarify the meaning; state in depth The CEO refused to expound on the decision to merge our department with another one, and so I quit.",Magoosh GRE 1000 Words,,,,"(verb): add details or explanation; clarify the meaning; state in depth The CEO refused to expound on the decision to merge our department with another one, and so I quit.",,magoosh-gre-1000-words_oct01.pdf
expunge,"Barron's 1100 - First 20 Weeks: erase | Kaplan 900 + High Frequency GRE: to erase, to strike out | Magoosh GRE 1000 Words: (verb): to eliminate completely When I turned 18, all of the shoplifting and jaywalking charges were expunged from my criminal record.",Barron's 1100 - First 20 Weeks; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,,erase,"to erase, to strike out","(verb): to eliminate completely When I turned 18, all of the shoplifting and jaywalking charges were expunged from my criminal record.",,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
extant,"Barron's 1100 - First 20 Weeks: still existing | Magoosh GRE 1000 Words: (adjective): the opposite of extinct Despite many bookstores closing, experts predict that some form of book dealing will still be extant generations from now.",Barron's 1100 - First 20 Weeks; Magoosh GRE 1000 Words,,still existing,,"(adjective): the opposite of extinct Despite many bookstores closing, experts predict that some form of book dealing will still be extant generations from now.",,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; magoosh-gre-1000-words_oct01.pdf
extemporize,"GregMat Vocab: improvise, especially in speech or performance",GregMat Vocab,"improvise, especially in speech or performance",,,,,GregMat Vocab.pdf
extenuating,GregMat Vocab: lessening the seriousness by providing excuses | Magoosh GRE 1000 Words: (adjective): making less guilty or more forgivable The jury was hardly moved by the man's plea that his loneliness was an extenuating factor in his crime of dognapping a prized pooch.,GregMat Vocab; Magoosh GRE 1000 Words,lessening the seriousness by providing excuses,,,(adjective): making less guilty or more forgivable The jury was hardly moved by the man's plea that his loneliness was an extenuating factor in his crime of dognapping a prized pooch.,,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
extirpate,"Kaplan 900 + High Frequency GRE: to rip up by the roots, to abolish, to annihilate",Kaplan 900 + High Frequency GRE,,,"to rip up by the roots, to abolish, to annihilate",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
extol,Kaplan 900 + High Frequency GRE: to praise highly | WordSmart I Complete 850 Words: Pronunciation: ik-STOHL; English: to praise; Bengali: ভূযসী প্রশংসা করা; Example: The media extolled her achievements.,Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,to praise highly,,Pronunciation: ik-STOHL; English: to praise; Bengali: ভূযসী প্রশংসা করা; Example: The media extolled her achievements.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
extortion,Barron's 1100 - First 20 Weeks: getting money by threats,Barron's 1100 - First 20 Weeks,,getting money by threats,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
extraneous,"GregMat Vocab: lacking relevance; unnecessary | Kaplan 900 + High Frequency GRE: Not essential, irrelevant | WordSmart I Complete 850 Words: Pronunciation: ik-STRAY-nee- us; English: unnecessary; Bengali: অপ্রাসবিক / িবহরাগত; Example: Please remove all extraneous information from the report.",GregMat Vocab; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,lacking relevance; unnecessary,,"Not essential, irrelevant",,Pronunciation: ik-STRAY-nee- us; English: unnecessary; Bengali: অপ্রাসবিক / িবহরাগত; Example: Please remove all extraneous information from the report.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
extrapolate,"GregMat Vocab: predict by projecting past experience or data | Magoosh GRE 1000 Words: (verb): draw from specific cases for more general cases By extrapolating from the data on the past three months, we can predict a 5% increase in traffic to our website. | WordSmart I Complete 850 Words: Pronunciation: ik-STRAP-uh- layt; English: to project or deduce from something known; Bengali: জ্ঞাত তর্য ছর্নক অনুমান করা; Example: From the data, he extrapolated future trends.",GregMat Vocab; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,predict by projecting past experience or data,,,"(verb): draw from specific cases for more general cases By extrapolating from the data on the past three months, we can predict a 5% increase in traffic to our website.","Pronunciation: ik-STRAP-uh- layt; English: to project or deduce from something known; Bengali: জ্ঞাত তর্য ছর্নক অনুমান করা; Example: From the data, he extrapolated future trends.",GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
extravagant,"GregMat Vocab: excessive, especially in terms of cost",GregMat Vocab,"excessive, especially in terms of cost",,,,,GregMat Vocab.pdf
extremes,Kaplan 900 + High Frequency GRE: Either of two abstract things,Kaplan 900 + High Frequency GRE,,,Either of two abstract things,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
extricate,WordSmart I Complete 850 Words: Pronunciation: EK-strih-kayt; English: to free from difficulty; Bengali: বিপে ছর্নক মুক্ত করা; Example: He struggled to extricate himself from the mess.,WordSmart I Complete 850 Words,,,,,Pronunciation: EK-strih-kayt; English: to free from difficulty; Bengali: বিপে ছর্নক মুক্ত করা; Example: He struggled to extricate himself from the mess.,WordSmart1_Complete_850Words.pdf
extrinsic,"Barron's 1100 - First 20 Weeks: coming from outside, foreign",Barron's 1100 - First 20 Weeks,,"coming from outside, foreign",,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
extrovert,"WordSmart I Complete 850 Words: Pronunciation: EK-stroh-vurt; English: an open, outgoing person; Bengali: িবহমখুে্ী িযত্ত্বক ্ত; Example: As an extrovert, she loved being around people.",WordSmart I Complete 850 Words,,,,,"Pronunciation: EK-stroh-vurt; English: an open, outgoing person; Bengali: িবহমখুে্ী িযত্ত্বক ্ত; Example: As an extrovert, she loved being around people.",WordSmart1_Complete_850Words.pdf
exult,Barron's 1100 - First 20 Weeks: eg zult ' rejoice greatly | Kaplan 900 + High Frequency GRE: Rejoice | WordSmart I Complete 850 Words: Pronunciation: ig-ZULT; English: to rejoice; Bengali: আননন্দ উনিত্ত্বজত হওযা; Example: The crowd exulted as the team scored the winning goal.,Barron's 1100 - First 20 Weeks; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,eg zult ' rejoice greatly,Rejoice,,Pronunciation: ig-ZULT; English: to rejoice; Bengali: আননন্দ উনিত্ত্বজত হওযা; Example: The crowd exulted as the team scored the winning goal.,WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
fabricate,GregMat Vocab: invent in order to deceive | Barron's 1100 - First 20 Weeks: to make up a lie,GregMat Vocab; Barron's 1100 - First 20 Weeks,invent in order to deceive,to make up a lie,,,,GregMat Vocab.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
fabrication,WordSmart I Complete 850 Words: Pronunciation: fab-rih-KAY- shun; English: a lie; Bengali: বমর্যা / িাননাযাট কাবহনী; Example: His whole alibi was a fabrication.,WordSmart I Complete 850 Words,,,,,Pronunciation: fab-rih-KAY- shun; English: a lie; Bengali: বমর্যা / িাননাযাট কাবহনী; Example: His whole alibi was a fabrication.,WordSmart1_Complete_850Words.pdf
facade,"Kaplan 900 + High Frequency GRE: the principal front of a building, a false appearance",Kaplan 900 + High Frequency GRE,,,"the principal front of a building, a false appearance",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
facetious,"GregMat Vocab: treating serious issues with inappropriate humor | Kaplan 900 + High Frequency GRE: Joking, humorous | WordSmart I Complete 850 Words: Pronunciation: fuh-SEE-shus; English: humorous; Bengali: রবসকতাপূণ /ে মজাোর; Example: Stop being facetious and give me a serious answer.",GregMat Vocab; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,treating serious issues with inappropriate humor,,"Joking, humorous",,Pronunciation: fuh-SEE-shus; English: humorous; Bengali: রবসকতাপূণ /ে মজাোর; Example: Stop being facetious and give me a serious answer.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
facile,"Magoosh GRE 1000 Words: (adjective): arrived at without due care or effort; lacking depth Many news shows provide facile explanations to complex politics, so I prefer to read the in-depth reporting of The New York Times. | WordSmart I Complete 850 Words: Pronunciation: FAS-ul; English: superficial; fluent; Bengali: অগভীর / অনাযাস; Example: His facile explanation ignored the real complexity.",Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,,"(adjective): arrived at without due care or effort; lacking depth Many news shows provide facile explanations to complex politics, so I prefer to read the in-depth reporting of The New York Times.",Pronunciation: FAS-ul; English: superficial; fluent; Bengali: অগভীর / অনাযাস; Example: His facile explanation ignored the real complexity.,WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
faction,"Kaplan 900 + High Frequency GRE: a group, or part of large group, united on an issue | WordSmart I Complete 850 Words: Pronunciation: FAK-shun; English: a small group within a larger group, united around some cause; Bengali: েনলর মনিয উপেল / ছগাষ্ঠী; Example: A powerful faction within the party opposed the reform.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"a group, or part of large group, united on an issue",,"Pronunciation: FAK-shun; English: a small group within a larger group, united around some cause; Bengali: েনলর মনিয উপেল / ছগাষ্ঠী; Example: A powerful faction within the party opposed the reform.",WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
factious,"GregMat Vocab: causing division or disagreement | Magoosh GRE 1000 Words: (adjective): produced by, or characterized by internal dissension The controversial bill proved factious, as dissension even within parties resulted",GregMat Vocab; Magoosh GRE 1000 Words,causing division or disagreement,,,"(adjective): produced by, or characterized by internal dissension The controversial bill proved factious, as dissension even within parties resulted",,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
factitious,Magoosh GRE 1000 Words: (adjective): artificial; not natural The defendant's story was largely factitious and did not accord with eyewitness testimonies,Magoosh GRE 1000 Words,,,,(adjective): artificial; not natural The defendant's story was largely factitious and did not accord with eyewitness testimonies,,magoosh-gre-1000-words_oct01.pdf
fallacious,"GregMat Vocab: false or mistaken | Barron's 1100 - First 20 Weeks: misleading, false | Kaplan 900 + High Frequency GRE: False, based on fallacy | Magoosh GRE 1000 Words: (adjective): of a belief that is based on faulty reasoning The widespread belief that Eskimos have forty different words for snow is fallacious, based on one false report.",GregMat Vocab; Barron's 1100 - First 20 Weeks; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,false or mistaken,"misleading, false","False, based on fallacy","(adjective): of a belief that is based on faulty reasoning The widespread belief that Eskimos have forty different words for snow is fallacious, based on one false report.",,GregMat Vocab.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
fallacy,"Kaplan 900 + High Frequency GRE: false idea, mistaken belief, an implausible argument",Kaplan 900 + High Frequency GRE,,,"false idea, mistaken belief, an implausible argument",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
fallible,GregMat Vocab: capable of making an error,GregMat Vocab,capable of making an error,,,,,GregMat Vocab.pdf
fallow,GregMat Vocab: 1. (of farmland) not cultivated; barren 2. (of a period of time) inactive,GregMat Vocab,1. (of farmland) not cultivated; barren 2. (of a period of time) inactive,,,,,GregMat Vocab.pdf
falsified,Kaplan 900 + High Frequency GRE: Alter or mislead,Kaplan 900 + High Frequency GRE,,,Alter or mislead,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
falter,"GregMat Vocab: weaken or waver, especially in the face of difficulty; hesitate",GregMat Vocab,"weaken or waver, especially in the face of difficulty; hesitate",,,,,GregMat Vocab.pdf
fanciful,GregMat Vocab: highly imaginative; unrealistic,GregMat Vocab,highly imaginative; unrealistic,,,,,GregMat Vocab.pdf
farcical,WordSmart I Complete 850 Words: Pronunciation: FAR-sih-kul; English: absurd; Bengali: হাসযকর / প্রহসনমূলক; Example: The trial became farcical when witnesses contradicted each other.,WordSmart I Complete 850 Words,,,,,Pronunciation: FAR-sih-kul; English: absurd; Bengali: হাসযকর / প্রহসনমূলক; Example: The trial became farcical when witnesses contradicted each other.,WordSmart1_Complete_850Words.pdf
